random_tries,best,average
100,0.831133794939143,0.8179565915726915
200,0.8328586003424668,0.8177600404668738
300,0.8328586003424668,0.8176476363696795
400,0.8328586003424668,0.8175693140652618
500,0.8328586003424668,0.8175580718670581
600,0.8328586003424668,0.8175296644413053
700,0.8328586003424668,0.8175489572425201
800,0.8328586003424668,0.8176088998422122
900,0.8328586003424668,0.8175945471963126
1000,0.8328586003424668,0.8175935560612162
1100,0.8328586003424668,0.8175352824704123
1200,0.8328586003424668,0.8174985935667318
1300,0.8328586003424668,0.8175100899176116
1400,0.8328586003424668,0.8175531474773068
1500,0.8328586003424668,0.8175129908825035
1600,0.8328586003424668,0.8174849741543053
1700,0.8328586003424668,0.8174470878057836
1800,0.8335670185305046,0.8174553234001886
1900,0.8335670185305046,0.817504966085865
2000,0.8340564307477893,0.817495910420643
2100,0.8340564307477893,0.8174860475708235
2200,0.8340564307477893,0.8174905080176221
2300,0.8340564307477893,0.8174756323004769
2400,0.8340564307477893,0.8174935684271851
2500,0.8340564307477893,0.8174441711902896
2600,0.8340564307477893,0.8174379280704102
2700,0.8340564307477893,0.8174405373017166
2800,0.8340564307477893,0.8174297805610823
2900,0.8340564307477893,0.8174093771021663
3000,0.8340564307477893,0.8174046574709837
3100,0.8340564307477893,0.817403622036688
3200,0.8340564307477893,0.8174074986517604
3300,0.8340564307477893,0.8173888595445257
3400,0.8340564307477893,0.8173925928093655
3500,0.8340564307477893,0.8173938545516422
3600,0.8340564307477893,0.8173736751605144
3700,0.8340564307477893,0.8173738168521767
3800,0.8340564307477893,0.817370851057152
3900,0.8340564307477893,0.8173593064180399
4000,0.8340564307477893,0.8173775425813933
4100,0.8340564307477893,0.8173613899808863
4200,0.8340564307477893,0.8173706735655053
4300,0.8340564307477893,0.8173682149214349
4400,0.8340564307477893,0.8173486153149666
4500,0.8340564307477893,0.8173416274766205
4600,0.8340564307477893,0.81732687878992
4700,0.8340564307477893,0.8173261764234362
4800,0.8340564307477893,0.8173136445835477
4900,0.8340564307477893,0.8173213848058344
5000,0.8340564307477893,0.8173114192136837
5100,0.8340564307477893,0.8173267047765298
5200,0.8340564307477893,0.8173370156867813
5300,0.8340564307477893,0.8173406121356394
5400,0.8340564307477893,0.8173438415565525
5500,0.8340564307477893,0.8173243404842309
5600,0.8340564307477893,0.8173355413506173
5700,0.8340564307477893,0.8173297139239003
5800,0.8340564307477893,0.8173329680867181
5900,0.8340564307477893,0.8173475684066777
6000,0.8340564307477893,0.8173416159113239
6100,0.8340564307477893,0.8173436719156995
6200,0.8340564307477893,0.817342675905506
6300,0.8340564307477893,0.817344969299001
6400,0.8340564307477893,0.8173376423641382
6500,0.8340564307477893,0.8173332814979513
6600,0.8340564307477893,0.8173354238782218
6700,0.8340564307477893,0.8173311791182533
6800,0.8340564307477893,0.8173262964751332
6900,0.8340564307477893,0.8173264338366452
7000,0.8340564307477893,0.8173283910263638
7100,0.8340564307477893,0.8173188627115286
7200,0.8340564307477893,0.8173245223691328
7300,0.8340564307477893,0.8173170724092677
7400,0.8340564307477893,0.8173191749241658
7500,0.8340564307477893,0.8173156671374604
7600,0.8340564307477893,0.8173198487650217
7700,0.8340564307477893,0.8173158741076368
7800,0.8340564307477893,0.8173205920205151
7900,0.8340564307477893,0.8173184130179786
8000,0.8340564307477893,0.8173191408095666
8100,0.8340564307477893,0.817329540664313
8200,0.8340564307477893,0.8173327663961923
8300,0.8340564307477893,0.8173357336945946
8400,0.8340564307477893,0.8173275290886082
8500,0.8340564307477893,0.8173218885517018
8600,0.8340564307477893,0.8173289882884306
8700,0.8340564307477893,0.8173234683492545
8800,0.8340564307477893,0.8173188615682827
8900,0.8340564307477893,0.8173252952929528
9000,0.8340564307477893,0.817326626001481
9100,0.8340564307477893,0.8173190311291938
9200,0.8340564307477893,0.8173143585294672
9300,0.8340564307477893,0.8173117789451292
9400,0.8340564307477893,0.8173151955152338
9500,0.8340564307477893,0.8173242768553569
9600,0.8340564307477893,0.8173231220732545
9700,0.8340564307477893,0.8173165948150934
9800,0.8340564307477893,0.8173172862163747
9900,0.8340564307477893,0.8173122171261106
10000,0.8340564307477893,0.8173135018236111
10100,0.8340564307477893,0.8173102935275806
