generation,best_fitness,average_fitness,coverage_fraction,average_overlap,time_elapsed
0,0.7415293215794606,0.6194532503665654,1.0,0.0,9.215121030807495
1,0.7451455895640507,0.7017059459901638,0.4339130434782609,0.09177018633540372,21.514508485794067
2,0.7451455895640507,0.7178001064928929,0.28127329192546585,0.2126441881100266,33.98298907279968
3,0.7588547271458072,0.7293563750540639,0.21822981366459626,0.3471606033717835,46.293575048446655
4,0.7588547271458072,0.7364167859753601,0.14704968944099378,0.4108917480035492,58.67977523803711
5,0.7588547271458072,0.7390992535237063,0.11894409937888199,0.48848713398402843,71.05117511749268
6,0.7652454274343187,0.7432359720140712,0.10431677018633541,0.5393300798580302,83.60598969459534
7,0.7652454274343187,0.7447005138762648,0.09897515527950311,0.3906610470275067,96.25619840621948
8,0.766511498027305,0.746989950975378,0.09574534161490683,0.43338509316770185,107.82580757141113
9,0.766511498027305,0.7446036320764239,0.09332298136645963,0.4539263531499556,120.03631663322449
10,0.766511498027305,0.7461998062018397,0.09226708074534161,0.47704081632653067,132.2389566898346
11,0.7708570438387022,0.7474769234007765,0.08872670807453416,0.5158163265306123,144.97807955741882
12,0.7708570438387022,0.7486379947384333,0.08260869565217391,0.5391748003549246,157.12134385108948
13,0.7708570438387022,0.7505193049792152,0.07832298136645963,0.5615128660159716,169.79856276512146
14,0.7744780326235284,0.7519679786408708,0.07593167701863354,0.5645962732919255,182.4255268573761
15,0.7744780326235284,0.7508095994510464,0.07509316770186335,0.5292147293700089,194.6019675731659
16,0.7744780326235284,0.7502118470835244,0.07267080745341616,0.5512200532386867,206.7555069923401
17,0.776971606530056,0.7523181735612344,0.0727639751552795,0.5386424134871339,219.26050543785095
18,0.776971606530056,0.7536870934572569,0.07046583850931677,0.49698314108251995,231.34032940864563
19,0.776971606530056,0.7542571881954597,0.06940993788819876,0.5114241348713399,243.2762565612793
20,0.7773798830376132,0.7575173319456201,0.06894409937888199,0.5619565217391305,255.55789947509766
21,0.7810334582233699,0.7570405190636292,0.06838509316770186,0.5410825199645075,267.5364818572998
22,0.7810334582233699,0.756220975281512,0.06897515527950311,0.48549245785270634,279.7986719608307
23,0.7810334582233699,0.7590459320452219,0.07102484472049689,0.5144853593611357,292.15779209136963
24,0.7810334582233699,0.7561528660082751,0.07177018633540373,0.5391748003549246,304.8512303829193
25,0.7810334582233699,0.7591169084247241,0.06822981366459627,0.5647737355811889,317.3097050189972
26,0.7810334582233699,0.7594762048859096,0.06760869565217391,0.589396628216504,329.3997395038605
27,0.7810334582233699,0.7583068742355488,0.06677018633540373,0.592391304347826,341.62781739234924
28,0.7810334582233699,0.7601739201762463,0.06763975155279503,0.6137755102040816,353.6170015335083
29,0.7810334582233699,0.7596319664178705,0.06354037267080745,0.6400842945874002,366.06475257873535
30,0.7810334582233699,0.7582927256787814,0.06372670807453416,0.6218278615794144,378.421537399292
31,0.7810334582233699,0.7593194668384524,0.06313664596273291,0.6032386867790595,390.90882110595703
32,0.7810334582233699,0.7600367973236473,0.06096273291925466,0.6135980479148181,402.8858301639557
33,0.7810334582233699,0.7612144184591116,0.06046583850931677,0.5868456078083407,414.60571336746216
34,0.7853705015866996,0.7612555910064549,0.06397515527950311,0.5787932564330079,426.83929228782654
35,0.7853705015866996,0.7631690395048062,0.06450310559006212,0.5709183673469387,438.9687054157257
36,0.7853705015866996,0.7617200692801217,0.06388198757763976,0.5711180124223603,451.2952251434326
37,0.7853705015866996,0.7607519025590949,0.06478260869565218,0.5881100266193434,463.8235402107239
38,0.8257088624702736,0.7628605300168878,0.06472049689440994,0.601863354037267,475.84515261650085
39,0.8257088624702736,0.7625313509441122,0.06593167701863355,0.5570319432120674,487.94804406166077
40,0.8257088624702736,0.762748139282982,0.06381987577639751,0.5685891748003549,499.90757846832275
41,0.8257088624702736,0.7601815633388598,0.0651552795031056,0.5613354037267081,512.1754891872406
42,0.8257088624702736,0.7607960640416969,0.06543478260869565,0.5487799467613133,524.268230676651
43,0.839739938520404,0.7628082149829841,0.06357142857142857,0.5564108251996451,536.8025314807892
44,0.839739938520404,0.7611824733555933,0.06254658385093168,0.5603593611357587,549.1621625423431
45,0.839739938520404,0.7624788324481189,0.06388198757763976,0.5635314995563443,561.1054403781891
46,0.839739938520404,0.7629952017305578,0.0651552795031056,0.568944099378882,573.5442550182343
47,0.839739938520404,0.7634517199655225,0.06338509316770187,0.6043921916592724,585.5341122150421
48,0.839739938520404,0.7632840533452458,0.06263975155279503,0.6057009760425909,597.7179188728333
49,0.839739938520404,0.7618876757476944,0.06217391304347826,0.5965394853593612,609.9858014583588
50,0.839739938520404,0.7591275609238751,0.06313664596273291,0.5910603371783496,622.2305572032928
51,0.839739938520404,0.7609938467182589,0.06170807453416149,0.5637533274179236,634.4094488620758
52,0.839739938520404,0.7621251803353296,0.06,0.5788376220053238,646.408303976059
53,0.839739938520404,0.7610764720973273,0.061583850931677016,0.5644853593611358,658.605854511261
54,0.839739938520404,0.7612827370524917,0.06133540372670807,0.5602040816326531,670.9410934448242
55,0.8412429763190953,0.7654277463268346,0.06037267080745341,0.5608917480035492,683.3579320907593
56,0.8412429763190953,0.7620696582453387,0.06096273291925466,0.5634205856255546,695.5330584049225
57,0.8412429763190953,0.7648027818713259,0.061149068322981365,0.5543478260869565,707.8037762641907
58,0.8412429763190953,0.7619363033196054,0.061832298136645966,0.5551907719609583,720.0858387947083
59,0.8412429763190953,0.7647586046285376,0.061832298136645966,0.5684117125110915,731.837592124939
60,0.8412429763190953,0.7636743040748932,0.06139751552795031,0.5680124223602484,744.0103056430817
61,0.8412429763190953,0.7618292603040122,0.06316770186335403,0.578371783496007,756.404141664505
62,0.8412429763190953,0.7624615068535506,0.06049689440993789,0.5948092280390417,768.3056869506836
63,0.8412429763190953,0.763767100038773,0.059751552795031054,0.587910381543922,780.604987859726
64,0.8424743156750605,0.7593203444457103,0.05972049689440994,0.5967834960070985,792.8258748054504
65,0.8462887298877985,0.7642553014399236,0.060838509316770185,0.5945208518189885,804.8579244613647
66,0.8462887298877985,0.769772723258705,0.06248447204968944,0.5974933451641525,817.1947314739227
67,0.8462887298877985,0.7692743955995024,0.06226708074534162,0.6328970718722272,829.6086056232452
68,0.8462887298877985,0.7677867828475695,0.06055900621118013,0.6394631765749779,842.1316957473755
69,0.853558158092718,0.7807580947142148,0.05863354037267081,0.6657719609582964,854.837477684021
70,0.853558158092718,0.7793823776202786,0.05683229813664596,0.6632653061224489,867.2801611423492
71,0.853558158092718,0.7756982600664958,0.057950310559006214,0.6811889973380656,879.7119832038879
72,0.853558158092718,0.7930269864927955,0.056024844720496896,0.6845385980479148,892.0731794834137
73,0.853558158092718,0.7914871895692415,0.05565217391304348,0.6821428571428572,904.3659694194794
74,0.853558158092718,0.7881027630185778,0.05614906832298137,0.7048358473824312,916.8017916679382
75,0.853558158092718,0.7801599230486569,0.0558695652173913,0.678039041703638,929.1168918609619
76,0.853558158092718,0.7888494713006409,0.053757763975155276,0.6865794143744454,941.5586426258087
77,0.853558158092718,0.7978965094181487,0.05434782608695652,0.684094942324756,953.9192335605621
78,0.853558158092718,0.7944810674321211,0.05298136645962733,0.7086512866015972,966.5060625076294
79,0.853558158092718,0.7902460246158861,0.05636645962732919,0.6834516415261758,978.7818548679352
80,0.853558158092718,0.8010710735941049,0.05416149068322981,0.6840283939662822,991.0077786445618
81,0.853558158092718,0.7788421639947478,0.05478260869565217,0.6692768411712511,1002.8917305469513
82,0.853558158092718,0.8009685903109945,0.05450310559006211,0.6614906832298136,1015.2620470523834
83,0.853558158092718,0.7753767015179198,0.054192546583850934,0.6529281277728483,1027.715098619461
84,0.853558158092718,0.780178596832481,0.056024844720496896,0.6636424134871339,1039.8396940231323
85,0.8598622695085915,0.7801470985524226,0.05788819875776398,0.6767524401064774,1052.158418416977
86,0.8598622695085915,0.7839156472361828,0.05686335403726708,0.670053238686779,1064.2668735980988
87,0.8598622695085915,0.7907193714659306,0.05630434782608695,0.684472049689441,1076.6432240009308
88,0.8599526700274686,0.8043825850475561,0.054627329192546585,0.7152395740905058,1088.8570954799652
89,0.8599526700274686,0.8004219495011412,0.0534472049689441,0.715572315882875,1100.9535641670227
90,0.8599526700274686,0.8114029763864629,0.05251552795031056,0.7212511091393079,1112.845505952835
91,0.8599526700274686,0.7947456409300971,0.05307453416149068,0.7082963620230701,1125.1544559001923
92,0.8599526700274686,0.7995072884417787,0.053540372670807454,0.7017080745341615,1137.4119944572449
93,0.8599526700274686,0.7902734861104986,0.054006211180124226,0.7165039929015083,1149.6003589630127
94,0.8599526700274686,0.8021776633896175,0.05670807453416149,0.7209627329192547,1161.8981521129608
95,0.8599526700274686,0.793294565325287,0.05416149068322981,0.7410381543921917,1174.073489189148
